series	season	category	title
classic-who	1	Main Show	An Unearthly Child
classic-who	1	Main Show	The Cave of Skulls
classic-who	1	Main Show	The Forest of Fear
classic-who	1	Main Show	The Firemaker
classic-who	1	Main Show	The Dead Planet
classic-who	1	Main Show	The Survivors
classic-who	1	Main Show	The Escape
classic-who	1	Main Show	The Ambush
classic-who	1	Main Show	The Expedition
classic-who	1	Main Show	The Ordeal
classic-who	1	Main Show	The Rescue
classic-who	1	Main Show	The Edge of Destruction
classic-who	1	Main Show	The Brink of Disaster
classic-who	1	Main Show	The Roof of the World
classic-who	1	Main Show	The Singing Sands
classic-who	1	Main Show	Five Hundred Eyes
classic-who	1	Main Show	The Wall of Lies
classic-who	1	Main Show	Rider from Shang-Tu
classic-who	1	Main Show	Mighty Kublai Khan
classic-who	1	Main Show	Assassin at Peking
classic-who	1	Main Show	The Sea of Death
classic-who	1	Main Show	The Velvet Web
classic-who	1	Main Show	The Screaming Jungle
classic-who	1	Main Show	The Snows of Terror
classic-who	1	Main Show	Sentence of Death
classic-who	1	Main Show	The Keys of Marinus
classic-who	1	Main Show	The Temple of Evil
classic-who	1	Main Show	The Warriors of Death
classic-who	1	Main Show	The Bride of Sacrifice
classic-who	1	Main Show	The Day of Darkness
classic-who	1	Main Show	Strangers in Space
classic-who	1	Main Show	The Unwilling Warriors
classic-who	1	Main Show	Hidden Danger
classic-who	1	Main Show	A Race Against Death
classic-who	1	Main Show	Kidnap
classic-who	1	Main Show	A Desperate Venture
classic-who	1	Main Show	A Land of Fear
classic-who	1	Main Show	Guests of Madame Guillotine
classic-who	1	Main Show	A Change of Identity
classic-who	1	Animated Restoration	The Tyrant of France
classic-who	1	Animated Restoration	A Bargain of Necessity
classic-who	1	Main Show	Prisoners of Conciergerie
classic-who	2	Main Show	Planet of Giants
classic-who	2	Main Show	Dangerous Journey
classic-who	2	Main Show	Crisis
classic-who	2	Main Show	World's End
classic-who	2	Main Show	The Daleks
classic-who	2	Main Show	Day of Reckoning
classic-who	2	Main Show	The End of Tomorrow
classic-who	2	Main Show	The Waking Ally
classic-who	2	Main Show	Flashpoint
classic-who	2	Main Show	The Powerful Enemy
classic-who	2	Main Show	Desperate Measures
classic-who	2	Main Show	The Slave Traders
classic-who	2	Main Show	All Roads Lead to Rome
classic-who	2	Main Show	Conspiracy
classic-who	2	Main Show	Inferno
classic-who	2	Main Show	The Web Planet
classic-who	2	Main Show	The Zarbi
classic-who	2	Main Show	Escape to Danger
classic-who	2	Main Show	Crater of Needles
classic-who	2	Main Show	Invasion
classic-who	2	Main Show	The Centre
classic-who	2	Main Show	The Lion
classic-who	2	Main Show	The Knight of Jaffa
classic-who	2	Main Show	The Wheel of Fortune
classic-who	2	Main Show	The Warlords
classic-who	2	Main Show	The Space Museum
classic-who	2	Main Show	The Dimensions of Time
