season	category	title	status	note	best	best_reported	checked	have	source	released	description
1	Main Show	An Unearthly Child	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | An Unearthly Child, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 1, container change only, nothing re-encoded	1963-11-23	Two Coal Hill teachers follow their strange pupil Susan home to a junkyard and force their way into a police box that is larger inside. Her grandfather takes off rather than be exposed, and lands them all in the Stone Age.
1	Main Show	The Cave of Skulls	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | An Unearthly Child, MPEG-2 720x576 25fps, one AC-3 2.0 track, 2 English VobSub tracks inside. MakeMKV title 2, container change only, nothing re-encoded	1963-11-30	Two Coal Hill teachers follow their strange pupil Susan home to a junkyard and force their way into a police box that is larger inside. Her grandfather takes off rather than be exposed, and lands them all in the Stone Age.
1	Main Show	The Forest of Fear	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | An Unearthly Child, MPEG-2 720x576 25fps, one AC-3 2.0 track, 2 English VobSub tracks inside. MakeMKV title 3, container change only, nothing re-encoded	1963-12-07	Two Coal Hill teachers follow their strange pupil Susan home to a junkyard and force their way into a police box that is larger inside. Her grandfather takes off rather than be exposed, and lands them all in the Stone Age.
1	Main Show	The Firemaker	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | An Unearthly Child, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 4, container change only, nothing re-encoded	1963-12-14	Two Coal Hill teachers follow their strange pupil Susan home to a junkyard and force their way into a police box that is larger inside. Her grandfather takes off rather than be exposed, and lands them all in the Stone Age.
1	Main Show	The Dead Planet	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Daleks, MPEG-2 720x576 25fps, one AC-3 2.0 track, 2 English VobSub tracks inside. MakeMKV title 3, container change only, nothing re-encoded	1963-12-21	The TARDIS arrives on a petrified world where a gleaming city stands empty of anything human. The travellers go down into it out of curiosity and find the machine creatures who have been waiting inside for centuries.
1	Main Show	The Survivors	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Daleks, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 0, container change only, nothing re-encoded	1963-12-28	The TARDIS arrives on a petrified world where a gleaming city stands empty of anything human. The travellers go down into it out of curiosity and find the machine creatures who have been waiting inside for centuries.
1	Main Show	The Escape	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Daleks, MPEG-2 720x576 25fps, one AC-3 2.0 track, 2 English VobSub tracks inside. MakeMKV title 4, container change only, nothing re-encoded	1964-01-04	The TARDIS arrives on a petrified world where a gleaming city stands empty of anything human. The travellers go down into it out of curiosity and find the machine creatures who have been waiting inside for centuries.
1	Main Show	The Ambush	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Daleks, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 1, container change only, nothing re-encoded	1964-01-11	The TARDIS arrives on a petrified world where a gleaming city stands empty of anything human. The travellers go down into it out of curiosity and find the machine creatures who have been waiting inside for centuries.
1	Main Show	The Expedition	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Daleks, MPEG-2 720x576 25fps, one AC-3 2.0 track, 2 English VobSub tracks inside. MakeMKV title 6, container change only, nothing re-encoded	1964-01-18	The TARDIS arrives on a petrified world where a gleaming city stands empty of anything human. The travellers go down into it out of curiosity and find the machine creatures who have been waiting inside for centuries.
1	Main Show	The Ordeal	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Daleks, MPEG-2 720x576 25fps, one AC-3 2.0 track, 2 English VobSub tracks inside. MakeMKV title 7, container change only, nothing re-encoded	1964-01-25	The TARDIS arrives on a petrified world where a gleaming city stands empty of anything human. The travellers go down into it out of curiosity and find the machine creatures who have been waiting inside for centuries.
1	Main Show	The Rescue	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Daleks, MPEG-2 720x576 25fps, 2 AC-3 tracks (episode plus commentary), 2 English VobSub tracks inside. MakeMKV title 8, container change only, nothing re-encoded	1964-02-01	The TARDIS arrives on a petrified world where a gleaming city stands empty of anything human. The travellers go down into it out of curiosity and find the machine creatures who have been waiting inside for centuries.
1	Main Show	The Edge of Destruction	ok		576i PAL DVD	576i PAL Region 2 DVD. No HD release exists: Season 1 is not in the Doctor Who: The Collection Blu-ray range (19 of 26 seasons as of Sep 2026) and no Season 1 set has been announced	2026-09-21	720x576 25fps AC-3	archive.org doctor-who-season-1-dvd | The Edge Of Destruction, MPEG-2 720x576 25fps, one AC-3 2.0 track, 2 English VobSub tracks inside. MakeMKV title 2, container change only, nothing re-encoded	1964-02-08	After a violent jolt the TARDIS turns on its crew, locking doors, showing impossible images and setting them against one another. The Doctor is certain he has a saboteur aboard, and the ship will not let anyone leave.
