season	category	title	status	note	ceiling	have
1	Main Show	Rose	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
1	Main Show	The End of the World	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
1	Main Show	The Unquiet Dead	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
1	Main Show	Aliens of London	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
1	Main Show	World War Three	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
1	Main Show	Dalek	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
1	Main Show	The Long Game	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
1	Main Show	Father's Day	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
1	Main Show	The Empty Child	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
1	Main Show	The Doctor Dances	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
1	Main Show	Boom Town	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
1	Main Show	Bad Wolf	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
1	Main Show	The Parting of the Ways	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
1	Minisode	Born Again	ok		576p Blu-ray, left un-upscaled	720x576 25fps AAC
1	Special	The Christmas Invasion	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
-	Minisode	Attack of the Graske	missing	interactive Red Button game from 2005; no linear episode exists	none, interactive only	
-	Prequel	Tardisode 1	missing	2006 mobile phone download, never broadcast or released on disc; only AI-upscaled fan uploads exist, no official source	none, no official source	
2	Main Show	New Earth	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
-	Prequel	Tardisode 2	missing	2006 mobile phone download, never broadcast or released on disc; only AI-upscaled fan uploads exist, no official source	none, no official source	
2	Main Show	Tooth and Claw	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
-	Prequel	Tardisode 3	missing	2006 mobile phone download, never broadcast or released on disc; only AI-upscaled fan uploads exist, no official source	none, no official source	
2	Main Show	School Reunion	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
-	Prequel	Tardisode 4	missing	2006 mobile phone download, never broadcast or released on disc; only AI-upscaled fan uploads exist, no official source	none, no official source	
2	Main Show	The Girl in the Fireplace	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
2	Minisode	Pompadour	ok		1080p YouTube	
-	Prequel	Tardisode 5	missing	2006 mobile phone download, never broadcast or released on disc; only AI-upscaled fan uploads exist, no official source	none, no official source	
2	Main Show	Rise of the Cybermen	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
-	Prequel	Tardisode 6	missing	2006 mobile phone download, never broadcast or released on disc; only AI-upscaled fan uploads exist, no official source	none, no official source	
2	Main Show	The Age of Steel	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
-	Prequel	Tardisode 7	missing	2006 mobile phone download, never broadcast or released on disc; only AI-upscaled fan uploads exist, no official source	none, no official source	
2	Main Show	The Idiot's Lantern	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
-	Prequel	Tardisode 8	missing	2006 mobile phone download, never broadcast or released on disc; only AI-upscaled fan uploads exist, no official source	none, no official source	
2	Main Show	The Impossible Planet	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
-	Prequel	Tardisode 9	missing	2006 mobile phone download, never broadcast or released on disc; only AI-upscaled fan uploads exist, no official source	none, no official source	
2	Main Show	The Satan Pit	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
-	Prequel	Tardisode 10	missing	2006 mobile phone download, never broadcast or released on disc; only AI-upscaled fan uploads exist, no official source	none, no official source	
2	Main Show	Love & Monsters	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
2	Minisode	The Genuine Article	ok		1080p YouTube	
-	Prequel	Tardisode 11	missing	2006 mobile phone download, never broadcast or released on disc; only AI-upscaled fan uploads exist, no official source	none, no official source	
2	Main Show	Fear Her	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
-	Prequel	Tardisode 12	missing	2006 mobile phone download, never broadcast or released on disc; only AI-upscaled fan uploads exist, no official source	none, no official source	
2	Main Show	Army of Ghosts	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
-	Prequel	Tardisode 13	missing	2006 mobile phone download, never broadcast or released on disc; only AI-upscaled fan uploads exist, no official source	none, no official source	
2	Main Show	Doomsday	ok		1080p Blu-ray, SD upscale	1080p 23.976fps AAC
