season	category	title	status	note	ceiling	have	released	description
1	Main Show	Everything Changes	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2006-10-22	A Cardiff police constable follows a team she has watched raise a murder victim back to their base under the city centre. What Gwen Cooper finds there is an operation quietly policing everything that falls through a rift in space and time.
1	Main Show	Day One	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2006-10-22	Gwen's first day ends with something released from a meteorite and loose in the city inside a young woman. It feeds on human energy at the moment of intimacy, and it is working through Cardiff faster than the team can follow.
1	Main Show	Ghost Machine	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2006-10-29	A device found on a railway platform lets whoever holds it watch the past play out where they are standing. Owen sees a murder from decades ago and fixes on the man who walked away from it and is still walking around.
1	Main Show	Cyberwoman	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2006-11-05	Something is alive on the deepest level of the Hub, kept there by the one member of the team nobody thinks to suspect. Ianto has been hiding what is left of the woman he loved since the day Canary Wharf fell.
1	Main Show	Small Worlds	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2006-11-12	An old friend of Jack's asks for help when a girl on her street starts talking to figures standing in the trees. Jack knows what they are, and he knows what happened the last time anyone stood between them and a child they had chosen.
1	Main Show	Countrycide	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2006-11-19	Campers are disappearing from a valley in the Brecon Beacons and the bodies that turn up have been stripped. The team drives out expecting something alien and finds the nearest village is not the refuge it looks like.
1	Main Show	Greeks Bearing Gifts	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2006-11-26	A woman in a bar gives Toshiko a pendant that lets her hear every thought around her. Knowing exactly what her colleagues think of her turns out to be a gift with a price, and the giver has her own reason for handing it over.
1	Main Show	They Keep Killing Suzie	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2006-12-03	A series of murders leads back to Torchwood's own dead, so the team uses the resurrection glove to ask her about it. Bringing Suzie Costello back for two minutes proves far easier to start than to stop.
1	Main Show	Random Shoes	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2006-12-10	Eugene Jones wakes at the side of a Cardiff road with no memory of the night before and nobody able to see him. Following Gwen as she investigates his own death, he retraces the last thing he cared about, an alien eye he bought online.
1	Main Show	Out of Time	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2006-12-17	A light aircraft that took off from Cardiff in 1953 lands at the airfield with three passengers who have not aged a day. There is no way to send them back, and the century they have arrived in is not a soft landing.
1	Main Show	Combat	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2006-12-24	Weevils are vanishing off the streets and reappearing in a warehouse where men pay to watch them fight. Owen volunteers to go in alone, at a point in his life when he is not certain he wants to come out again.
1	Main Show	Captain Jack Harkness	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2007-01-01	Toshiko and Jack are stranded in a Cardiff dance hall on the evening of an air raid in 1941. The young American officer running the party is the man whose name Jack has been borrowing ever since.
1	Main Show	End of Days	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2007-01-01	People from every century are appearing across Cardiff and the rift is tearing wider by the hour. Whatever waits on the other side is offering each member of the team the one thing they would give anything to have back.
2	Main Show	Kiss Kiss, Bang Bang	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2008-01-16	A time agent in a red coat walks into a Cardiff bar, blows up a warehouse and introduces himself as Jack's former partner. Captain John Hart has come for three canisters, and no version of his story survives more than an hour.
2	Main Show	Sleeper	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2008-01-23	A burglary ends with the intruders dead and the woman who lives there unhurt and bewildered. Beth has led an entirely ordinary life without ever knowing what was built underneath it, or what it is waiting for.
2	Main Show	To the Last Man	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2008-01-30	Torchwood keeps a soldier from 1918 in cryogenic storage and wakes him for a single day each year. Tommy has been Toshiko's one day a year for a long time, and this is the year he is needed for the thing he was kept for.
2	Main Show	Meat	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2008-02-06	Rhys follows a haulage job to a warehouse and finds an enormous creature being cut into while it is still breathing. Gwen has to explain what she actually does for a living at the worst possible moment.
2	Main Show	Adam	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2008-02-13	A man the team has always known is standing in the Hub, and none of them can remember a single day without him. Adam lives inside other people's memories and rewrites them the instant anyone begins to doubt.
2	Main Show	Reset	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2008-02-20	Martha Jones arrives on loan from UNIT to help with a run of deaths that make no medical sense. The trail leads to a research facility whose director is convinced he is curing the world one volunteer at a time.
2	Main Show	Dead Man Walking	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2008-02-27	Jack uses the second resurrection glove on one of his own team and refuses to stop at two minutes. Owen comes back, though not in the way anyone intended, and something else appears to have come back with him.
2	Main Show	A Day in the Death	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2008-03-05	Owen sits on a ledge above Cardiff beside a woman who climbed up there for her own reasons. He cannot eat, sleep, heal or die, and he is trying to work out what is left to do with a life like that.
2	Main Show	Something Borrowed	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2008-03-12	Gwen wakes on her wedding morning heavily pregnant with something that was not there the night before. The mother of the creature growing inside her is on her way to the reception to collect it.
2	Main Show	From Out of the Rain	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2008-03-19	An old cinema runs a reel of film that has not been projected since the travelling shows died out. Whatever was recorded on it is walking out of the theatre and taking the breath of everyone it passes.
2	Main Show	Adrift	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2008-03-21	A teenager vanishes from a Cardiff street and Gwen discovers his case is one of hundreds Torchwood has quietly closed. Jack knows exactly where the rift puts people down again, and why he has never told anyone.
2	Main Show	Fragments	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2008-03-28	An explosion leaves four of the team pinned in the ruins of a building, each remembering the day Torchwood found them. None of them were recruited so much as collected, and Jack chose every one.
2	Main Show	Exit Wounds	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2008-04-04	John Hart takes Cardiff apart in a single night, then hands Jack over to the person who has been directing him all along. The debt being collected was run up long before Torchwood existed.
3	Main Show	Children of Earth: Day One	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2009-07-06	Every child on Earth stops still at the same moment and speaks with one voice. Torchwood starts looking for whatever is using them, and somebody inside the British government starts looking for Torchwood.
3	Main Show	Children of Earth: Day Two	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2009-07-07	With the Hub gone and their names on a kill order, what is left of the team goes to ground in London. The message the children are carrying has turned into a countdown, and Whitehall is quietly preparing to receive whatever sent it.
3	Main Show	Children of Earth: Day Three	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2009-07-08	A tank of poisonous atmosphere is built to order on the twelfth floor of a Thames office block. What arrives inside it opens with a demand rather than a greeting, and the figure it names is one child in ten.
3	Main Show	Children of Earth: Day Four	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2009-07-09	The reason the government is negotiating rather than fighting turns out to be a bargain struck in 1965. Jack was standing there when it was made, and the price he agreed to then is about to be asked for again.
3	Main Show	Children of Earth: Day Five	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2009-07-10	The cabinet works out which children to hand over and settles on a method that lets everyone in the room keep their job. Stopping it needs a weapon nobody has and a cost somebody has to volunteer to pay.
4	Main Show	The New World	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2011-07-08	One morning nobody on Earth dies, and by nightfall nobody has died anywhere. A CIA analyst chasing the only mention of a word he has never heard finds Torchwood, and somebody would rather both stayed buried.
4	Main Show	Rendition	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2011-07-15	Jack is flown to the United States as a witness and poisoned somewhere over the Atlantic. He is the one person on the planet who can still die, and the aircraft has hours of ocean left to cross.
4	Main Show	Dead of Night	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2011-07-22	Regrouped in America, the team goes after a drug company that had painkillers stockpiled before the miracle started. On television, a killer who can no longer be executed is rebuilding himself as a man of faith.
4	Main Show	Escape to L.A.	ok		1080i Blu-ray, DTS-HD 5.1	1080p 25fps AAC	2011-07-29	The team breaks into a company warehouse to find out what was known and how early. A contract killer is working the same building on the same night, and the paper trail runs straight through Esther's family.
