season	category	title	status	note	ceiling	have	released	description
1	Special	Invasion of the Bane	ok		576p DVD	720x576 25fps AAC	2007-01-01	Maria Jackson moves to Bannerman Road and finds her new neighbour keeps very odd hours and stranger company. Sarah Jane Smith is investigating a fizzy drink that the whole country has fallen for, and the factory behind it is not run by people.
1	Main Show	Revenge of the Slitheen (1)	ok		576p DVD	720x576 25fps AAC	2007-09-24	A demolished factory leaves a family of very large strangers running the new school, and every one of them is delighted by the smell of the place. Luke starts at Park Vale on the same day, with no idea how conspicuous he is.
1	Main Show	Revenge of the Slitheen (2)	ok		576p DVD	720x576 25fps AAC	2007-09-24	The Slitheen have what they need to finish the machine in the school and are only waiting for the right moment. What they are building will put out the sun, and the only people who know are three children and a journalist.
1	Main Show	Eye of the Gorgon (1)	ok		576p DVD	720x576 25fps AAC	2007-10-01	An elderly woman with dementia keeps talking about a nun who is not there, and her family have stopped listening. The convent at the end of the lane is missing a talisman, and the sisters want it back before their mother wakes.
1	Main Show	Eye of the Gorgon (2)	ok		576p DVD	720x576 25fps AAC	2007-10-08	The Gorgon has what she needs and a congregation willing to give her anything else. Sarah Jane is trapped by a creature whose gaze turns people to stone, and the only way to look at her is not to look at all.
1	Main Show	Warriors of Kudlak (1)	ok		576p DVD	720x576 25fps AAC	2007-10-15	A laser tag centre opens in town and the best players keep being invited back, then not coming home at all. Clyde goes in to find out where the winners are going, which is exactly what the management were hoping for.
1	Main Show	Warriors of Kudlak (2)	ok		576p DVD	720x576 25fps AAC	2007-10-22	The missing children are light years away, fighting a war for a commander who has never questioned his orders. Sarah Jane has to reach the truth about that war before the next shipment of recruits is spent.
1	Main Show	Whatever Happened to Sarah Jane? (1)	ok		576p DVD	720x576 25fps AAC	2007-10-29	Sarah Jane returns from an errand to find a stranger living in her house and nobody who remembers her name. A girl who drowned in 1964 is alive and grown, and history has quietly rearranged itself around the swap.
1	Main Show	Whatever Happened to Sarah Jane? (2)	ok		576p DVD	720x576 25fps AAC	2007-11-05	With Sarah Jane erased, the creature that arranged it is free to finish what it started. Putting the world back means asking someone to accept a death she has already escaped once.
1	Main Show	The Lost Boy (1)	ok		576p DVD	720x576 25fps AAC	2007-11-12	A television appeal identifies Luke as a boy who disappeared three years ago, and his parents arrive to take him home. Sarah Jane has no legal claim and no proof, and the people helping her are the ones she should be watching.
