1	The Three Doctors (1)	Doctor Who The Collection Season 10/Disc 1 - The Three Doctors/S10E01 - The Three Doctors (1).mkv
2	The Three Doctors (2)	Doctor Who The Collection Season 10/Disc 1 - The Three Doctors/S10E02 - The Three Doctors (2).mkv
3	The Three Doctors (3)	Doctor Who The Collection Season 10/Disc 1 - The Three Doctors/S10E03 - The Three Doctors (3).mkv
4	The Three Doctors (4)	Doctor Who The Collection Season 10/Disc 1 - The Three Doctors/S10E04 - The Three Doctors (4).mkv
5	Carnival of Monsters (1)	Doctor Who The Collection Season 10/Disc 2 - Carnival of Monsters/S10E05 - Carnival of Monsters (1).mkv
6	Carnival of Monsters (2)	Doctor Who The Collection Season 10/Disc 2 - Carnival of Monsters/S10E06 - Carnival of Monsters (2).mkv
7	Carnival of Monsters (3)	Doctor Who The Collection Season 10/Disc 2 - Carnival of Monsters/S10E07 - Carnival of Monsters (3).mkv
8	Carnival of Monsters (4)	Doctor Who The Collection Season 10/Disc 2 - Carnival of Monsters/S10E08 - Carnival of Monsters (4).mkv
9	Frontier in Space (1)	Doctor Who The Collection Season 10/Disc 3 - Frontier in Space/S10E09 - Frontier in Space (1).mkv
10	Frontier in Space (2)	Doctor Who The Collection Season 10/Disc 3 - Frontier in Space/S10E10 - Frontier in Space (2).mkv
11	Frontier in Space (3)	Doctor Who The Collection Season 10/Disc 3 - Frontier in Space/S10E11 - Frontier in Space (3).mkv
12	Frontier in Space (4)	Doctor Who The Collection Season 10/Disc 3 - Frontier in Space/S10E12 - Frontier in Space (4).mkv
13	Frontier in Space (5)	Doctor Who The Collection Season 10/Disc 3 - Frontier in Space/S10E13 - Frontier in Space (5).mkv
14	Frontier in Space (6)	Doctor Who The Collection Season 10/Disc 3 - Frontier in Space/S10E14 - Frontier in Space (6).mkv
15	Planet of the Daleks (1)	Doctor Who The Collection Season 10/Disc 4 - Planet of the Daleks/S10E15 - Planet Of The Daleks (1) (Original).mkv
16	Planet of the Daleks (2)	Doctor Who The Collection Season 10/Disc 4 - Planet of the Daleks/S10E16 - Planet Of The Daleks (2) (Original).mkv
17	Planet of the Daleks (3)	Doctor Who The Collection Season 10/Disc 4 - Planet of the Daleks/S10E17 - Planet Of The Daleks (3) (Original).mkv
18	Planet of the Daleks (4)	Doctor Who The Collection Season 10/Disc 4 - Planet of the Daleks/S10E18 - Planet Of The Daleks (4) (Original).mkv
19	Planet of the Daleks (5)	Doctor Who The Collection Season 10/Disc 4 - Planet of the Daleks/S10E19 - Planet Of The Daleks (5) (Original).mkv
20	Planet of the Daleks (6)	Doctor Who The Collection Season 10/Disc 4 - Planet of the Daleks/S10E20 - Planet Of The Daleks (6) (Original).mkv
21	The Green Death (1)	Doctor Who The Collection Season 10/Disc 5 - The Green Death/S10E21 - The Green Death (1).mkv
22	The Green Death (2)	Doctor Who The Collection Season 10/Disc 5 - The Green Death/S10E22 - The Green Death (2).mkv
23	The Green Death (3)	Doctor Who The Collection Season 10/Disc 5 - The Green Death/S10E23 - The Green Death (3).mkv
24	The Green Death (4)	Doctor Who The Collection Season 10/Disc 5 - The Green Death/S10E24 - The Green Death (4).mkv
25	The Green Death (5)	Doctor Who The Collection Season 10/Disc 5 - The Green Death/S10E25 - The Green Death (5).mkv
26	The Green Death (6)	Doctor Who The Collection Season 10/Disc 5 - The Green Death/S10E26 - The Green Death (6).mkv
