season	story	seeders	gb	release	infohash
13	Terror of the Zygons	1	4.68	Doc_Who_Terror of the Zygons	07e92c718ea8ceb5caf5cb32f86125602b86b696
13	Planet of Evil	0	4.68	Doctor Who 081 Tom Baker Planet Of Evil DVD (PAL) TRBLE	32b7d12ac4c3d71f0d02f3d7b8f9ed73dcf2e399
13	Pyramids of Mars	1	4.68	Doctor Who - 082 - Tom Baker - Pyramids Of Mars [DVD (PAL) TRBLE]	81203d1932cdf4462ca8c98dde8ab365a7b3d503
13	The Android Invasion	0	4.24	Doctor Who 083 Tom Baker The Android Invasion DVD (PAL) TRBLE	4c096a9ead462bd7cac1ccfa34e38ca827bfc394
13	The Brain of Morbius	0	8.19	Doctor Who - 084 - Tom Baker - The Brain Of Morbius (Original DVD9 Rip)	8feb11a7a80d0f13f928bd06f4c401a8a6ef8332
13	The Seeds of Doom	0	4.53	Doctor Who 085 Tom Baker The Seeds Of Doom [DVD (PAL) TRBLE]	47d335843e6558a5788b7c810cb651473343dc56
14	The Masque of Mandragora	0	4.07	Doctor Who 086 Tom Baker The Masque Of Mandragora [DVD (PAL) TRBLE]	bbdb24fdfe9aeed37e8aca6521aa35cc0b4e89df
14	The Hand of Fear	0	4.75	Doctor Who - The Hand of Fear DVD (PAL)	b9dc07abb16c1e309827c87f86493e52fb3609ee
14	The Deadly Assassin	1	4.68	Doctor Who   088a   Tom Baker   The Deadly Assassin [DVD (PAL) TRBLE]	8911fed2cf5a5dcd5da3cff4558f26a87b4744f4
14	The Face of Evil	0	4.37	Doctor Who 089 Tom Baker The Face Of Evil [DVD (PAL) TRBLE]	29d9d6d775a1707d9ba6bf173e10b32634202897
14	The Robots of Death	2	4.68	Doctor Who   090   Tom Baker   The Robots Of Death [DVD (PAL) TRBLE]	8c49efb0329eb0ee3c01243dfceaee9a02cb747d
14	The Talons of Weng-Chiang	6	9.36	Doctor Who   091   Tom Baker   The Talons Of Weng Chiang [DVD (PAL) TRBLE]	44ce0dfa2daca2cc44a18ea1d873e95ed65e7c62
