ep	serial	iso	title	held_secs
1	1	Serial 1 - An Unearthly Child	An Unearthly Child	1400.0
2	1	Serial 1 - An Unearthly Child	The Cave of Skulls	1475.0
3	1	Serial 1 - An Unearthly Child	The Forest of Fear	1415.0
4	1	Serial 1 - An Unearthly Child	The Firemaker	1464.0
5	2	Serial 2 - The Daleks	The Dead Planet	1459.8
6	2	Serial 2 - The Daleks	The Survivors	1466.0
7	2	Serial 2 - The Daleks	The Escape	1507.0
8	2	Serial 2 - The Daleks	The Ambush	1467.0
9	2	Serial 2 - The Daleks	The Expedition	1470.1
10	2	Serial 2 - The Daleks	The Ordeal	1570.0
11	2	Serial 2 - The Daleks	The Rescue	1345.0
12	3	Serial 3 - The Edge Of Destruction	The Edge of Destruction	1501.0
13	3	Serial 3 - The Edge Of Destruction	The Brink of Disaster	1327.4
14	4	Serial 4 - Marco Polo	The Roof of the World	1451.5
15	4	Serial 4 - Marco Polo	The Singing Sands	1596.7
16	4	Serial 4 - Marco Polo	Five Hundred Eyes	1353.6
17	4	Serial 4 - Marco Polo	The Wall of Lies	1492.8
18	4	Serial 4 - Marco Polo	Rider from Shang-Tu	1406.7
19	4	Serial 4 - Marco Polo	Mighty Kublai Khan	1543.9
20	4	Serial 4 - Marco Polo	Assassin at Peking	1502.6
21	5	Serial 5 - The Keys Of Marinus	The Sea of Death	1397.0
22	5	Serial 5 - The Keys Of Marinus	The Velvet Web	1518.0
23	5	Serial 5 - The Keys Of Marinus	The Screaming Jungle	1430.0
24	5	Serial 5 - The Keys Of Marinus	The Snows of Terror	1499.0
25	5	Serial 5 - The Keys Of Marinus	Sentence of Death	1503.0
26	5	Serial 5 - The Keys Of Marinus	The Keys of Marinus	1511.0
27	6	Serial 6 - The Aztecs	The Temple of Evil	1433.0
28	6	Serial 6 - The Aztecs	The Warriors of Death	1447.0
29	6	Serial 6 - The Aztecs	The Bride of Sacrifice	1524.0
30	6	Serial 6 - The Aztecs	The Day of Darkness	1526.0
31	7	Serial 7 - The Sensorites	Strangers in Space	1490.0
32	7	Serial 7 - The Sensorites	The Unwilling Warriors	1485.0
33	7	Serial 7 - The Sensorites	Hidden Danger	1497.0
34	7	Serial 7 - The Sensorites	A Race Against Death	1493.0
35	7	Serial 7 - The Sensorites	Kidnap	1552.0
36	7	Serial 7 - The Sensorites	A Desperate Venture	1473.0
37	8	Serial 8 - The Reign of Terror	A Land of Fear	1443.0
38	8	Serial 8 - The Reign of Terror	Guests of Madame Guillotine	1443.0
39	8	Serial 8 - The Reign of Terror	A Change of Identity	1524.0
40	8	Serial 8 - The Reign of Terror	The Tyrant of France	1510.0
41	8	Serial 8 - The Reign of Terror	A Bargain of Necessity	1488.0
42	8	Serial 8 - The Reign of Terror	Prisoners of Conciergerie	1507.0
